Ticker,Score,GraphNode,CDS_Name
A,1.0,"Agilent Technologies, Inc.",Agilent Technologies Inc
AALLN,1.0,Anglo American plc,Anglo American PLC
AAPL,1.0,Apple Inc.,Apple Inc
ABBNVX,1.0,ABB Inc.,ABB Ltd
ABC,0.872,AmerisourceBergen Drug Corporation,AmerisourceBergen Corp
ABESM,0.821,"Ferroser Infraestructuras, S.A.",Abertis Infraestructuras SA
ABIBB,0.962,Anheuser-Busch InBev SA/NV,Anheuser Busch InBev SA NV
ABT,1.0,Abbott Laboratories International LLC,Abbott Laboratories
ABXCN,1.0,Barrick Gold (Holdings) Limited,Barrick Gold Corp
ACAFP,0.933,Crédit Agricole Group,Credit Agricole
ACEIM,0.778,Acta S.p.A.,ACEA SpA
ACFP,1.0,Accor SA,Accor SA
ADENVX,1.0,Adecco Group AG,Adecco Group AG
ADM,1.0,Archer-Daniels-Midland Company,Archer-Daniels-Midland Co
ADNA,0.983,Koninklijke Ahold Delhaize N.V.,Koninklijke Ahold Delhaize NV
ADP,1.0,"Automatic Data Processing, Inc.",Automatic Data Processing Inc
ADSGR,1.0,adidas AG,adidas AG
AEGON,0.778,Allego N.V.,Aegon NV
AES,1.0,AES Corporation,The AES Corporation
AET,1.0,Aetna Inc.,Aetna Inc
AFG,1.0,"American Financial Group, Inc.",American Financial Group Inc
AGRBK,1.0,Agricultural Bank of China Limited,Agricultural Bank of China Ltd
AGSBB,0.769,Ageas (UK) Ltd.,Ageas
AIFP,0.966,Air Liquide USA LLC,Air Liquide SA
AIG,1.0,American International Holdings Corp.,American International Group Inc
AIRFP,1.0,Airbus SE,Airbus SE
AKZANA,0.963,Akzo Nobel N.V.,Akzo Nobel NV
ALL,1.0,The Allstate Corporation,Allstate Corp
ALLRNV,0.96,Alliander N.V.,Alliander NV
ALLY,1.0,Ally Financial Inc.,Ally Financial Inc
ALOFP,1.0,ALSTOM Holdings SA,Alstom SA
ALPHA,0.727,Alpha Bay Corporation,Alpha Bank AE
ALVGR,1.0,Allianz SE,Allianz SE
AMAT,1.0,"Applied Materials, Inc.",Applied Materials Inc
AMGN,1.0,Amgen Inc.,Amgen Inc
AMT,1.0,American Tower Corporation,American Tower Corp
AMXLMM,0.857,"América Móvil, S.A.B. de C.V.",America Movil SAB de CV
AMZN,1.0,"Amazon.com, Inc.",Amazon.com Inc
AN,1.0,"AutoNation, Inc.",AutoNation Inc
ANGSJ,1.0,AngloGold Ashanti plc,AngloGold Ashanti
ANTM,0.727,"ante4, Inc.",Anthem Inc
ANZ,0.753,Australia and New Zealand Banking Group Limited - India Branches,Australia   New Zealand Banking
APD,0.917,"Air Products and Chemicals, Inc.",Air Products   Chemicals Inc
ARW,1.0,"Arrow Electronics, Inc.",Arrow Electronics Inc
ASABRE,1.0,"Asahi Group Holdings, Ltd.",Asahi Group Holdings Ltd
ASML,0.968,ASML Holding N.V.,ASML Holding NV
ASSABS,0.839,ASSA ABLOY AB (publ),Assa Abloy AB
ASSGEN,0.963,Assicurazioni Generali S.p.A.,Assicurazioni Generali SpA
ATCOA,1.0,Atlas Copco AB,Atlas Copco AB
ATLIM,0.8,Atlantis,Atlantia SpA
AUCHAN,0.769,Auctane LLC,Auchan
AVB,1.0,"AvalonBay Communities, Inc.",AvalonBay Communities Inc
AVLN,1.0,Aviva Corp. Ltd.,Aviva PLC
AVT,1.0,"Avnet, Inc.",Avnet Inc
AVY,1.0,Avery Dennison Corporation,Avery Dennison Corp
AXASA,1.0,AXA SA,AXA SA
AXP,1.0,American Express Corp.,American Express
AZN,1.0,AstraZeneca PLC,AstraZeneca PLC
AZO,1.0,"AutoZone, Inc.",AutoZone Inc
BA,1.0,The Boeing Company,The Boeing Co
BAC,1.0,Bank of America Corporation,Bank of America Corp
BACR,1.0,Barclays PLC,Barclays PLC
BACRED,0.977,Mediobanca Banca di Credito Finanziario S.p.A.,Mediobanca - Banca di Credito Finanziario SpA
BALN,1.0,"BAE Systems, Inc.",BAE SYSTEMS PLC
BAMACN,0.75,Brooke Corporation,Brookfield
BASGR,1.0,BASF SE,BASF SE
BATSLN,0.889,British American Tobacco p.l.c.,British American Tobacco PLC
BAX,1.0,Baxter International Inc.,Baxter International Inc
BAYNGR,0.8,eBay International AG,Bayer AG
BBDBCN,1.0,Bombardier Inc.,Bombardier Inc
BBVAR,0.667,NO_MATCH,BBVA
BBVASM,0.986,"Banco Bilbao Vizcaya Argentaria, S.A.",Banco Bilbao Vizcaya Argentaria SA
BBY,1.0,"Best Buy Co., Inc.",Best Buy Co Inc
BCECN,1.0,"Bell Canada, Inc.",Bell Canada
BCHINA,1.0,Bank of China Limited,Bank of China
BCJAF,0.611,NO_MATCH,Kingdom of Spain
