Rank,Ticker,Coverage,Degree
1,AAPL,1.0,16
2,MSFT,1.0,30
3,AMZN,1.0,6
4,WMT,1.0,14
5,JPM,1.0,8
6,ORCL,1.0,24
7,COST,1.0,8
8,PG,1.0,6
9,HD,1.0,4
10,NFLX,1.0,2
11,JNJ,1.0,2
12,BAC,1.0,6
13,ABBV,1.0,2
14,MRK,1.0,2
15,WFC,1.0,6
16,CSCO,1.0,14
17,AXP,1.0,28
18,MCD,1.0,14
19,PEP,1.0,8
20,IBM,1.0,44
21,MS,1.0,2
22,ABT,1.0,6
23,GE,1.0,16
24,INTU,1.0,10
25,GS,1.0,6
26,CAT,1.0,10
27,TXN,1.0,4
28,VZ,1.0,20
29,T,1.0,26
30,RTX,1.0,6
31,SPGI,1.0,12
32,PFE,1.0,10
33,HON,1.0,6
34,CMCSA,1.0,6
35,AMGN,1.0,2
36,LOW,1.0,4
37,SCHW,1.0,4
38,ETN,1.0,12
39,AMAT,1.0,2
40,BA,1.0,18
41,BSX,1.0,4
42,C,1.0,2
43,ADP,1.0,6
44,DE,1.0,4
45,BMY,1.0,2
46,LMT,1.0,10
47,GILD,1.0,2
48,CB,1.0,2
49,UPS,1.0,6
50,SO,1.0,4
