Date,AAPL,MSFT,AMZN,WMT,JPM,ORCL,COST,PG,HD,NFLX,JNJ,BAC,ABBV,MRK,WFC,CSCO,AXP,MCD,PEP,IBM,MS,ABT,GE,INTU,GS,CAT,TXN,VZ,T,RTX,SPGI,PFE,HON,CMCSA,AMGN,LOW,SCHW,ETN,AMAT,BA,BSX,C,ADP,DE,BMY,LMT,GILD,CB,UPS,SO
2015-01-02,23.6,24.1,49.86,13.22,62.845,35.365,17.4825,17.21,20.947499999999998,151.57,13.1875,67.705,45.3,20.2925,48.099999999999994,29.9,41.675,41.4625,40.905,43.41,82.5775,23.8,59.4725,68.715,84.0625,55.455,39.465,72.86500000000001,75.31,29.895,60.84,16.259999999999998,16.27,30.369999999999997,31.375,19.28,38.785,50.1775,97.8125,19.785,66.91499999999999,75.1625,14.2775,41.385,15.702499999999999,16.27,27.02,19.0325,16.775,45.955
2015-01-09,23.250999999999998,25.403,49.86,14.126,66.304,33.257,16.974,19.017000000000003,21.634999999999998,151.57,12.747,68.978,45.3,20.27,50.112,30.981,43.265,44.42,43.440999999999995,45.155,84.929,24.39,61.398,65.752,87.65,60.465999999999994,36.967,73.611,78.056,28.740999999999996,61.69199999999999,16.915,16.221,33.011,32.648,19.999000000000002,38.907,50.073,97.92999999999999,23.599,65.683,77.53099999999999,13.635,43.056,16.688,16.868000000000002,27.02,18.326,16.975,47.1
2015-01-16,23.773,23.788999999999998,49.86,13.077000000000002,72.12,29.939999999999998,18.237000000000002,19.208000000000002,20.231,151.57,12.385,74.383,45.3,20.459,53.249,31.627999999999997,41.351,44.893,46.588,50.397000000000006,87.897,24.715,62.89200000000001,66.981,92.253,64.627,35.116,69.989,78.178,28.804000000000002,61.910000000000004,16.241,15.65,33.497,33.986000000000004,21.034,38.910000000000004,49.97,96.50699999999999,24.015,61.69199999999999,83.949,13.672999999999998,44.263,14.879,16.962,27.02,17.227,16.122999999999998,47.576
2015-01-23,19.979,25.921,49.86,12.811000000000002,74.849,31.25,18.035,18.982,19.16,151.57,12.431000000000001,75.827,45.3,20.618000000000002,53.535000000000004,31.441000000000003,39.844,43.04,46.113,51.25599999999999,86.404,24.929,62.446000000000005,66.961,93.21,62.58200000000001,37.839,64.81899999999999,75.42,28.633,60.334,15.904999999999998,14.744,32.238,33.565,18.526999999999997,38.902,49.881,81.214,23.284,60.959,87.26,13.497,43.649,14.947999999999999,16.773,27.02,16.628999999999998,15.055000000000001,46.688
2015-01-30,18.528,25.637999999999998,49.86,11.857,72.851,32.04600000000001,18.022,18.36,17.8,151.57,12.124,71.993,45.3,20.349,52.42100000000001,30.993000000000002,39.464,38.916000000000004,47.611000000000004,52.128,82.884,24.7,62.391,70.41,93.938,58.254,40.278,62.422000000000004,77.286,27.782999999999998,59.30799999999999,15.166,13.206999999999999,31.27,31.352999999999998,17.905,38.898,46.294,66.231,19.905,60.822,84.962,13.836000000000002,42.004999999999995,14.133,15.184000000000001,27.02,16.456,17.15,45.062
2015-02-06,19.869,28.816000000000003,49.86,11.945,68.666,33.325,17.679,16.91,17.636000000000003,151.57,11.193,69.007,45.3,20.199,50.762,30.032999999999998,38.735,36.287,48.234,51.769000000000005,79.788,24.786,60.271,70.155,89.901,57.117,40.548,51.486000000000004,72.646,27.264999999999997,59.398,15.053,12.516,30.276,30.918,16.895,38.894999999999996,47.190999999999995,68.162,18.623,58.673,82.282,13.732,39.911,13.252,14.322,27.02,17.764,20.387999999999998,46.303999999999995
2015-02-13,17.843,29.146000000000004,49.86,12.792,65.744,32.863,16.809,17.206,19.689,151.57,11.161,66.453,45.3,20.202,47.413,29.991000000000003,39.587,37.822,48.629,51.067,77.33200000000001,24.721,58.114,71.286,86.103,52.769000000000005,38.3,49.279,64.375,27.731,58.05800000000001,16.211000000000002,14.413,29.612000000000002,31.867,18.855,38.885000000000005,48.375,65.039,16.21,57.487,78.938,13.73,38.829,13.154,15.395,27.02,19.28,20.194,46.234
2015-02-20,16.72,29.929999999999996,49.86,14.258,63.839,31.367,17.232,17.201999999999998,18.839,151.57,11.075999999999999,65.71700000000001,45.3,20.189,45.697,28.278999999999996,41.761,37.446000000000005,48.853,49.340999999999994,75.088,24.769,56.46900000000001,69.833,83.785,52.11800000000001,40.118,47.451,62.589,27.570999999999998,57.952,16.339,14.315000000000001,28.631999999999998,31.325,18.181,38.887,47.255,64.647,16.177,51.607000000000006,77.332,13.599,38.188,13.172,15.7,27.02,20.065,20.163,45.202
2015-02-27,17.055,32.451,49.86,13.738999999999999,63.315,30.409000000000002,17.717,16.957,19.935000000000002,151.57,11.322,64.819,45.3,20.353,44.444,28.167,45.501,39.435,48.291,47.888999999999996,73.10499999999999,24.389,55.45399999999999,69.799,82.907,50.141,39.622,47.275,62.363,27.003000000000004,57.384,16.413,14.056999999999999,28.381999999999998,31.139,18.566,38.905,48.565,64.55499999999999,16.113999999999997,46.650999999999996,75.479,14.704000000000002,37.32,13.379,15.907999999999998,27.02,19.897,17.863999999999997,50.28
2015-03-06,17.966,24.330000000000002,49.758,13.887,63.766,31.988999999999997,17.711,16.311,20.936,151.57,11.437000000000001,65.163,45.3,20.46,43.339,27.830000000000002,44.84,40.156,47.21,49.101,73.50399999999999,24.451,54.690999999999995,71.401,82.453,48.12,33.826,45.885000000000005,62.336,25.774,55.662,15.238,13.368,27.837,30.695,19.943,38.900999999999996,48.369,64.774,15.550999999999998,51.70899999999999,74.216,17.411,33.954,13.147,15.175999999999998,27.02,19.523,15.987,49.62
2015-03-13,20.18,24.749000000000002,51.06,14.444999999999999,65.829,30.651999999999997,18.359,17.570999999999998,21.904,151.57,11.183,67.55,45.3,20.401,43.778,26.98,45.977999999999994,42.090999999999994,47.672999999999995,48.349000000000004,76.56800000000001,25.384,58.418000000000006,71.027,85.211,53.037,37.11,42.747,60.86,25.911,56.227999999999994,15.200999999999999,13.983,27.812,31.833,20.391,38.897000000000006,46.342,66.063,15.312999999999999,52.385000000000005,75.042,18.793,33.284,13.272,15.882,27.02,20.341,16.04,49.86
2015-03-20,17.869,29.161,55.65,14.233,65.466,29.524,19.343,17.368000000000002,21.268,151.57,11.112,66.65,45.3,20.205000000000002,41.785,27.824,45.708,40.523,47.269,49.376,75.127,26.937,59.765,71.10799999999999,84.313,55.827999999999996,35.549,43.425,59.961,27.000999999999998,55.584,15.260000000000002,13.883000000000001,28.46,33.726,20.538999999999998,38.909,47.459,63.677,15.466,50.468,74.998,19.696,33.098,13.236,16.439,27.02,21.128999999999998,15.488,50.8
2015-03-27,20.146,28.665,56.06,14.572,65.664,30.167,20.177,18.522,21.457,151.57,11.177,67.211,45.3,20.204,42.82,28.369,45.864,44.048,47.29,49.052,76.325,27.742,59.980999999999995,70.46900000000001,84.799,56.665,37.213,49.313,62.448,27.687,57.30799999999999,15.455000000000002,14.604,29.377,34.271,20.578,38.888999999999996,50.146,62.015,16.195,49.408,76.551,19.233999999999998,33.314,12.872,16.133000000000003,27.02,21.069,16.037,52.862
2015-04-03,20.209,24.653,54.54600000000001,13.84,64.624,29.643,20.755000000000003,17.155,20.81,151.57,11.309000000000001,65.772,45.3,20.693,41.864,28.493000000000002,45.226,41.138999999999996,45.517,47.379999999999995,75.577,27.436,57.599000000000004,71.135,85.30699999999999,54.972,34.553,58.476,61.987,27.391,55.31,15.133000000000001,14.493,30.366000000000003,34.237,20.422,38.903,46.958000000000006,60.492,15.459,48.992000000000004,75.107,19.567,32.857,13.001999999999999,16.207,27.02,22.34,16.082,53.55
2015-04-10,17.165,21.998,53.358000000000004,13.89,62.830999999999996,30.648000000000003,20.747,16.994,19.785,151.57,10.122,64.498,45.3,20.198,41.474000000000004,26.758,44.982,38.669,45.088,46.152,74.779,25.82,53.25,68.123,84.089,50.247,34.717,58.870000000000005,59.342999999999996,27.674,54.267999999999994,14.334999999999999,14.405000000000001,30.163999999999998,33.297000000000004,19.916,38.898,47.274,60.528,15.167000000000002,47.898,74.922,19.894,32.009,12.612,15.424000000000001,27.02,23.083,15.447,51.083999999999996
2015-04-17,19.698,22.0,51.620000000000005,16.032999999999998,61.148,30.618000000000002,20.863,17.329,20.264,151.57,10.370999999999999,63.227999999999994,45.3,20.931,41.61,26.593,45.256,38.229,46.509,45.435,73.309,25.617,34.253,67.705,80.32000000000001,48.587,33.159000000000006,60.357000000000006,61.629,27.496,54.84400000000001,15.003,14.386000000000001,30.407,33.952999999999996,20.798000000000002,38.910000000000004,47.046,60.842999999999996,15.741,48.411,73.515,20.717000000000002,31.844,12.455,16.23,27.02,23.999000000000002,16.403,49.048
2015-04-24,16.697,21.619999999999997,50.524,16.572,62.602,31.275,21.085,15.668000000000001,21.269,151.57,10.163,63.914,45.3,20.21,42.216,26.625,45.667,38.407,46.659,45.168,74.107,25.735000000000003,33.227999999999994,67.66,81.65,48.293,33.443,63.665,65.043,27.691000000000003,54.836,15.301999999999998,15.622,31.697000000000003,35.251999999999995,21.270000000000003,38.912,48.120999999999995,61.41799999999999,18.407999999999998,47.919,73.611,20.839000000000002,31.669999999999998,13.088,18.500999999999998,27.02,25.694,18.269,49.757999999999996
2015-05-01,19.223000000000003,22.334,47.076,16.663999999999998,63.26800000000001,31.171,21.476,15.953999999999999,21.311,151.57,10.047999999999998,64.966,45.3,20.591,43.356,26.568,46.157,38.05,43.983999999999995,46.195,75.70599999999999,25.645,36.319,67.391,84.355,45.382999999999996,30.807,66.128,66.917,27.637,53.552,14.828,15.465,32.55,35.657,21.197,38.894000000000005,50.211,61.682,18.121000000000002,47.537,74.957,21.166,31.358999999999998,13.315000000000001,18.613,27.02,25.752999999999997,18.054000000000002,49.544
2015-05-08,20.098,22.053,46.0,17.658,65.923,32.368,21.872999999999998,16.828,22.323,151.57,10.325,68.297,45.3,20.946,44.992,25.383,47.385000000000005,38.650999999999996,43.488,48.729,82.31700000000001,25.633,36.907,67.10900000000001,89.074,46.893,30.541000000000004,68.70599999999999,67.71900000000001,27.78,53.284000000000006,16.348,16.074,32.92,37.733,22.322,38.909,47.385000000000005,63.223,18.529000000000003,49.88,78.345,21.624,32.790000000000006,14.219999999999999,19.253999999999998,27.02,27.369,18.303,49.238
2015-05-15,18.003,25.820999999999998,47.558,17.744,64.949,30.482,20.983,16.994999999999997,23.783,151.57,10.494,67.42,45.3,20.756999999999998,45.758,25.48,45.99,39.07,44.126999999999995,49.81699999999999,81.441,25.990999999999996,35.982,66.495,86.856,45.369,30.707,68.732,68.364,27.440999999999995,53.970000000000006,16.085,15.940999999999999,34.347,39.193,24.061,38.906,48.834,66.36800000000001,18.133000000000003,51.638999999999996,77.136,21.762999999999998,33.402,14.431000000000001,19.881999999999998,27.02,28.190999999999995,18.372,49.036
2015-05-22,18.399,26.881,49.416000000000004,18.7,64.613,31.971000000000004,23.394,15.793000000000001,24.838,151.57,10.323,66.588,45.3,20.194,45.766000000000005,25.521,45.823,39.20399999999999,43.709,48.934000000000005,80.01700000000001,25.770999999999997,35.851,67.158,85.595,42.869,31.4,68.476,68.41900000000001,27.843,53.9,15.827000000000002,15.882,34.317,39.650999999999996,25.026999999999997,38.907,48.7,66.911,17.222,50.763999999999996,75.787,22.6,32.991,14.01,20.272,27.02,28.064999999999998,19.555,48.56
2015-05-29,19.043,26.883,52.077999999999996,18.947,65.038,31.508,23.229,17.791999999999998,24.837,151.57,10.656,67.00699999999999,45.3,20.598,47.22,24.926,45.771,38.922000000000004,41.629000000000005,48.269,79.15799999999999,25.766000000000002,37.644,68.213,86.779,42.915,31.663999999999998,67.681,69.14000000000001,28.511000000000003,55.238,16.073,15.571000000000002,34.529,40.188,25.905,38.898,48.737,67.662,16.753999999999998,51.109,76.549,23.037,32.369,13.437000000000001,19.828,27.02,28.282999999999998,18.973000000000003,49.918
2015-06-05,19.315,26.320999999999998,50.482,18.967000000000002,64.279,32.122,23.339,20.443,24.701,151.57,11.856,66.997,45.3,20.193,47.533,25.035,45.997,38.565,40.963,48.271,77.25899999999999,25.779000000000003,39.53,66.975,85.383,44.516999999999996,31.654000000000003,67.533,71.692,28.962,56.431999999999995,16.619999999999997,15.543000000000001,35.713,40.372,25.407,38.91,49.251,67.229,16.931,51.391,76.131,22.659,33.35,14.525,19.299,27.02,28.365,19.176,56.870000000000005
2015-06-12,20.484,26.643,50.6,18.935000000000002,64.062,32.585,23.715,20.249000000000002,25.702999999999996,151.57,14.303,67.519,45.3,19.975,48.76,25.631,47.331,35.494,40.863,48.808,77.38,25.898000000000003,40.348,66.39399999999999,85.61,45.438,31.454,68.644,73.515,29.006999999999998,58.918000000000006,17.057,15.779,35.815,40.787,26.538,38.915,50.023,67.50699999999999,17.105,52.041999999999994,76.954,22.756999999999998,33.882,14.482999999999999,20.410999999999998,27.02,29.418,19.401,56.089999999999996
2015-06-19,19.078,27.302,50.35,19.838,66.354,31.253999999999998,24.807,19.993000000000002,26.330000000000002,151.57,16.387999999999998,70.51899999999999,45.3,20.000999999999998,50.631,27.26,48.531,35.849000000000004,39.458,46.595000000000006,81.087,26.826,43.964999999999996,67.949,89.872,47.187,33.144,69.265,74.477,28.832,61.134,19.015,17.371000000000002,38.044,41.663,26.782999999999998,38.903999999999996,49.861000000000004,67.99199999999999,18.729,51.399,80.36800000000001,23.212,35.673,16.168,21.467000000000002,27.02,31.534,19.232,56.396
2015-06-26,20.074,31.511000000000003,50.19,20.028,67.319,31.772000000000002,23.589,20.231,28.475,151.57,17.301,70.126,45.3,20.59,51.741,27.852999999999998,50.144,36.292,39.65,48.208,81.032,27.711000000000002,48.932,65.643,89.413,48.801,33.598,71.069,77.32300000000001,29.648000000000003,60.048,22.371000000000002,18.931,37.735,42.315999999999995,28.526999999999997,38.909,50.587,65.458,21.478,53.69199999999999,80.451,22.91,37.609,19.43,24.835,27.02,32.994,20.139,56.105999999999995
