Ticker,Out_Degree,In_Degree,Total_Degree,Both,Coverage,CDS_OK,Kurt,Kurt_OK,Rank,PX5_mean_bp
MSFT,38,65,103,True,1.0,True,7.515608245670849,True,1,28.988564810690423
IBM,23,72,95,True,1.0,True,1.3916690904376106,True,2,45.86416525612472
T,17,44,61,True,1.0,True,3.0331930482684735,True,3,84.67510259836675
ORCL,17,44,61,True,1.0,True,4.426184445475209,True,4,36.859705790645876
HPQ,28,31,59,True,1.0,True,4.525162840534498,True,5,91.86001952487008
AAPL,38,15,53,True,1.0,True,12.929339734639047,True,6,24.632118782479584
CSCO,18,28,46,True,1.0,True,4.497327660226254,True,7,28.49974261321455
VZ,25,12,37,True,1.0,True,4.593637921901407,True,8,62.54390126206384
GE,17,18,35,True,1.0,True,19.542719266356947,True,9,68.28885011135857
AXP,4,31,35,True,1.0,True,3.3775593772284234,True,10,36.82852442464736
F,30,3,33,True,1.0,True,2.99290525432849,True,11,151.09357631774313
MSI,18,12,30,True,1.0,True,4.4350626314981065,True,12,91.77404736451373
INTC,13,15,28,True,1.0,True,9.428449618366482,True,13,35.17797787676318
BA,19,8,27,True,1.0,True,15.492277780083889,True,14,31.499262880475133
WMT,25,2,27,True,1.0,True,0.833874513367709,True,15,29.91229643652561
LMT,16,8,24,True,1.0,True,2.6930772549148987,True,16,26.77563118040089
AMZN,14,7,21,True,1.0,True,4.69708554086772,True,17,46.65501224177506
JCI,7,11,18,True,1.0,True,25.740930773482617,True,18,46.747043281366
NOC,14,4,18,True,1.0,True,3.4014765661100173,True,19,23.54872590942836
DAL,15,2,17,True,1.0,True,15.363705274288755,True,20,167.64168337045285
JPM,9,7,16,True,1.0,True,4.153857629661917,True,21,55.38208530066815
HON,6,10,16,True,1.0,True,2.7334200819481094,True,22,24.999323904974016
MAR,13,3,16,True,1.0,True,10.04760763853963,True,23,46.241240014847804
A,6,9,15,True,1.0,True,18.62215219493929,True,24,87.32323971789161
ETN,6,9,15,True,1.0,True,53.99851383785578,True,25,47.73231187824796
PFE,9,6,15,True,1.0,True,2.1591080059194176,True,26,27.258100742390496
JNPR,6,9,15,True,1.0,True,2.9232476003548467,True,27,99.08113741648106
BAC,10,4,14,True,1.0,True,15.357077871726112,True,28,62.08169465478842
CMCSA,12,2,14,True,1.0,True,2.0658871147120372,True,29,42.42398841870824
KO,7,7,14,True,1.0,True,3.342127012578052,True,30,27.285048552338534
CAT,10,3,13,True,1.0,True,4.367638448114811,True,31,52.28949027468449
GM,10,3,13,True,1.0,True,2.433226955077581,True,32,144.8405267260579
INTU,5,8,13,True,1.0,True,4.4020363960542355,True,33,73.70300772086118
TGT,11,1,12,True,1.0,True,1.7355964020165464,True,34,38.996705419450635
C,8,4,12,True,1.0,True,11.716571171243514,True,35,66.86747802524127
GS,3,9,12,True,1.0,True,12.419963531269783,True,36,78.67097594654788
MCD,10,1,11,True,1.0,True,15.71087004507875,True,37,31.395735857461023
PG,6,5,11,True,1.0,True,3.5176581642798306,True,38,21.767591685226428
MS,7,4,11,True,1.0,True,15.379843050178238,True,39,73.91501135857462
CB,10,1,11,True,1.0,True,1.6888438549443547,True,40,20.997565107646622
AIG,7,3,10,True,1.0,True,48.95352572439818,True,41,73.05374654788419
GD,6,4,10,True,1.0,True,5.720387571758634,True,42,23.671787156644395
FDX,5,5,10,True,1.0,True,17.333629489733553,True,43,55.16721922791389
UPS,5,4,9,True,1.0,True,5.694909733130157,True,44,25.73030890868597
NFLX,6,3,9,True,1.0,True,-0.7167420762456214,True,45,133.5704149122807
COP,7,2,9,True,1.0,True,26.09367068993867,True,46,77.58839591685226
TXN,3,6,9,True,1.0,True,38.17036099698364,True,47,52.62104216778025
PEP,6,3,9,True,1.0,True,3.526480025704652,True,48,40.519747364513734
EMR,5,4,9,True,1.0,True,16.620504630653297,True,49,46.60950801781737
COF,6,2,8,True,1.0,True,6.4427422812379636,True,50,69.27691618411285
