Date,MSFT,IBM,T,ORCL,HPQ,AAPL,CSCO,VZ,GE,AXP,F,MSI,INTC,BA,WMT,LMT,AMZN,JCI,NOC,DAL,JPM,HON,MAR,A,ETN,PFE,JNPR,BAC,CMCSA,CAT,GM,INTU,TGT,C,GS,MCD,PG,MS,CB,AIG,GD,FDX,UPS,NFLX,TXN,PEP,EMR,COF,SPGI,CI
2015-01-02,24.1,43.41,75.31,35.365,69.4325,23.6,29.9,72.86500000000001,59.4725,41.675,100.33,74.8675,30.375,19.785,13.22,16.27,49.86,50.4025,16.28,267.97,62.845,16.27,41.9925,86.35,50.1775,16.259999999999998,99.88,67.705,30.369999999999997,55.455,155.5375,68.715,31.675,75.1625,84.0625,41.4625,17.21,82.5775,19.0325,48.9,19.285,42.985,16.775,151.57,39.465,40.905,45.4,48.1525,60.84,29.872500000000002
2015-01-09,25.403,45.155,78.056,33.257,75.17,23.250999999999998,30.981,73.611,61.398,43.265,110.38400000000001,79.715,30.996999999999996,23.599,14.126,16.868000000000002,49.86,50.396,16.868000000000002,260.22200000000004,66.304,16.221,44.256,91.562,50.073,16.915,95.611,68.978,33.011,60.465999999999994,159.583,65.752,32.17100000000001,77.53099999999999,87.65,44.42,19.017000000000003,84.929,18.326,50.233000000000004,18.603,44.765,16.975,151.57,36.967,43.440999999999995,45.392,49.795,61.69199999999999,30.624000000000002
2015-01-16,23.788999999999998,50.397000000000006,78.178,29.939999999999998,78.066,23.773,31.627999999999997,69.989,62.89200000000001,41.351,112.869,84.643,32.826,24.015,13.077000000000002,16.962,49.86,50.537,16.957,259.158,72.12,15.65,44.811,94.622,49.97,16.241,95.87,74.383,33.497,64.627,163.439,66.981,30.880000000000003,83.949,92.253,44.893,19.208000000000002,87.897,17.227,51.271,19.175,44.975,16.122999999999998,151.57,35.116,46.588,45.392,49.299,61.910000000000004,30.598000000000003
2015-01-23,25.921,51.25599999999999,75.42,31.25,74.936,19.979,31.441000000000003,64.81899999999999,62.446000000000005,39.844,109.923,81.339,32.382999999999996,23.284,12.811000000000002,16.773,49.86,50.525,16.229,260.40299999999996,74.849,14.744,43.846,91.786,49.881,15.904999999999998,94.184,75.827,32.238,62.58200000000001,160.074,66.961,27.645,87.26,93.21,43.04,18.982,86.404,16.628999999999998,52.685,18.761000000000003,44.464,15.055000000000001,151.57,37.839,46.113,45.37,49.116,60.334,29.563
2015-01-30,25.637999999999998,52.128,77.286,32.04600000000001,73.872,18.528,30.993000000000002,62.422000000000004,62.391,39.464,107.232,78.849,34.935,19.905,11.857,15.184000000000001,49.86,51.112,14.258000000000001,259.797,72.851,13.206999999999999,41.595,89.017,46.294,15.166,97.071,71.993,31.27,58.254,161.18699999999998,70.41,25.414,84.962,93.938,38.916000000000004,18.36,82.884,16.456,50.951,18.965,48.149,17.15,151.57,40.278,47.611000000000004,45.376,48.259,59.30799999999999,27.697000000000003
2015-02-06,28.816000000000003,51.769000000000005,72.646,33.325,77.51700000000001,19.869,30.032999999999998,51.486000000000004,60.271,38.735,99.432,80.228,33.412,18.623,11.945,14.322,49.86,50.525999999999996,13.409,259.231,68.666,12.516,40.42100000000001,94.125,47.190999999999995,15.053,95.543,69.007,30.276,57.117,152.79500000000002,70.155,23.567,82.282,89.901,36.287,16.91,79.788,17.764,50.623000000000005,18.764,52.955,20.387999999999998,151.57,40.548,48.234,45.568,47.643,59.398,26.273000000000003
2015-02-13,29.146000000000004,51.067,64.375,32.863,81.981,17.843,29.991000000000003,49.279,58.114,39.587,96.02799999999999,88.499,33.563,16.21,12.792,15.395,49.86,50.402,15.148,259.682,65.744,14.413,40.158,94.407,48.375,16.211000000000002,96.732,66.453,29.612000000000002,52.769000000000005,147.817,71.286,22.492,78.938,86.103,37.822,17.206,77.33200000000001,19.28,53.955,19.728,52.842000000000006,20.194,151.57,38.3,48.629,45.358,47.759,58.05800000000001,26.173000000000002
2015-02-20,29.929999999999996,49.340999999999994,62.589,31.367,81.037,16.72,28.278999999999996,47.451,56.46900000000001,41.761,93.36500000000001,86.477,33.581,16.177,14.258,15.7,49.86,50.409000000000006,15.251,259.298,63.839,14.315000000000001,40.644999999999996,92.17699999999999,47.255,16.339,94.583,65.71700000000001,28.631999999999998,52.11800000000001,144.098,69.833,23.034,77.332,83.785,37.446000000000005,17.201999999999998,75.088,20.065,54.602,19.683999999999997,52.55800000000001,20.163,151.57,40.118,48.853,45.467,46.983000000000004,57.952,25.918
2015-02-27,32.451,47.888999999999996,62.363,30.409000000000002,86.439,17.055,28.167,47.275,55.45399999999999,45.501,88.175,84.622,33.089999999999996,16.113999999999997,13.738999999999999,15.907999999999998,49.86,50.738,15.758000000000001,258.986,63.315,14.056999999999999,40.693,93.865,48.565,16.413,94.458,64.819,28.381999999999998,50.141,137.939,69.799,22.559,75.479,82.907,39.435,16.957,73.10499999999999,19.897,54.519000000000005,19.925,51.49400000000001,17.863999999999997,151.57,39.622,48.291,45.370999999999995,46.858,57.384,26.139
2015-03-06,24.330000000000002,49.101,62.336,31.988999999999997,88.932,17.966,27.830000000000002,45.885000000000005,54.690999999999995,44.84,84.62,82.376,32.336,15.550999999999998,13.887,15.175999999999998,49.758,50.968,14.985,256.94399999999996,63.766,13.368,38.932,98.49199999999999,48.369,15.238,95.441,65.163,27.837,48.12,133.195,71.401,21.688,74.216,82.453,40.156,16.311,73.50399999999999,19.523,55.551,19.351,50.761,15.987,151.57,33.826,47.21,45.363,46.058,55.662,24.889
2015-03-13,24.749000000000002,48.349000000000004,60.86,30.651999999999997,91.52799999999999,20.18,26.98,42.747,58.418000000000006,45.977999999999994,85.479,80.21799999999999,32.45,15.312999999999999,14.444999999999999,15.882,51.06,51.04,15.325999999999999,260.448,65.829,13.983,40.542,97.80199999999999,46.342,15.200999999999999,96.518,67.55,27.812,53.037,135.844,71.027,21.187,75.042,85.211,42.090999999999994,17.570999999999998,76.56800000000001,20.341,59.361000000000004,18.956,50.375,16.04,151.57,37.11,47.672999999999995,45.473,45.766999999999996,56.227999999999994,24.714
