group,lag,mean_casc,se_casc,t_stat,p_value,n_events
upstream,-4,-1.032336,0.21520280277359416,-4.797037877030724,1.8682839708628052e-06,953
upstream,-3,-1.5695486,0.36018216343360887,-4.357652226513162,1.4574874091843881e-05,953
upstream,-2,-1.4631492,0.4605064019372452,-3.1772613441988544,0.0015346240478106843,953
upstream,-1,-0.4708768,0.5841951946233629,-0.8060265082424246,0.42042885329641866,953
upstream,0,3.0073826,0.6739042307521727,4.462626132349625,9.063653644059144e-06,953
upstream,1,4.619416,0.7214712684082206,6.402772277306295,2.3927704262405314e-10,953
upstream,2,5.2874265,0.7716217875107687,6.852355074215914,1.3032463996864863e-11,953
upstream,3,5.240771,0.7831561356678418,6.691859486824666,3.7564618082797097e-11,953
upstream,4,4.368609,0.7620940334833646,5.732375217566543,1.3287590583388464e-08,953
upstream,5,3.7700968,0.7542139022553533,4.99871026919008,6.867733055582192e-07,953
upstream,6,3.4456942,0.7815010986585292,4.409071482585085,1.1563527280822328e-05,953
upstream,7,3.5370705,0.8227001949847602,4.299343228437174,1.8894552181514257e-05,953
upstream,8,3.8793945,0.8619009145973163,4.500975071609446,7.60088518458879e-06,953
downstream,-4,-1.8734766,0.40938799453916813,-4.57628618577372,5.531175470974148e-06,757
downstream,-3,-3.3700237,0.7232890189490992,-4.659304425563557,3.7488773423355326e-06,757
downstream,-2,-3.747438,0.9274753756170642,-4.040471641688273,5.879793591057059e-05,757
downstream,-1,-2.5588202,0.9861234196238964,-2.5948275808788597,0.009647268953137278,757
downstream,0,1.4968033,1.0579759078072215,1.414780121649677,0.1575447134434067,757
downstream,1,3.707857,1.1121274737556435,3.33402148647999,0.0008977081046737112,757
downstream,2,4.5102024,1.089259712652845,4.14061252337925,3.8539998778119866e-05,757
downstream,3,4.0567837,1.080060449010789,3.756070949072712,0.00018586781101004313,757
downstream,4,2.8903706,1.1018410748277192,2.6232191494274315,0.008885863716838749,757
downstream,5,2.0521572,1.1434089909170155,1.7947708822848116,0.07308958232841278,757
downstream,6,1.7991999,1.19314477166972,1.5079477204643519,0.13198566735216222,757
downstream,7,2.2304306,1.2447764187531178,1.7918323075901166,0.07355965219770466,757
downstream,8,2.7890222,1.2809836667270191,2.177250404892754,0.029770495150245546,757
unconnected,-4,-1.1126964,0.13685499537725537,-8.130477118099707,8.881784197001252e-16,1357
unconnected,-3,-1.8672137,0.24121028064401015,-7.741020491681795,1.9095836023552692e-14,1357
unconnected,-2,-1.8372246,0.3140805114324288,-5.849533910064287,6.170909783165257e-09,1357
unconnected,-1,-0.87662345,0.37232507918261337,-2.354457167910374,0.018691723022628004,1357
unconnected,0,2.6029682,0.41973199189197846,6.201500637559523,7.410803082308348e-10,1357
unconnected,1,4.31668,0.4506356639415259,9.57909082431396,0.0,1357
unconnected,2,5.0866094,0.4647328351553269,10.945233428064741,0.0,1357
unconnected,3,4.9499583,0.46855530100609305,10.564299054449442,0.0,1357
unconnected,4,4.1037917,0.4494580907502766,9.130532517394718,0.0,1357
unconnected,5,3.364255,0.4362560988401518,7.711651389287693,2.398081733190338e-14,1357
unconnected,6,3.0671406,0.4409155979851068,6.956298648866589,5.418998583195389e-12,1357
unconnected,7,3.1770313,0.4536212000528842,7.003709874096433,3.912425938779052e-12,1357
unconnected,8,3.594072,0.47239133253316,7.608251581303625,5.1736392947532295e-14,1357
