group,lag,mean_casc,se_casc,t_stat,p_value,n_events
upstream,-4,-0.0810874,0.24792653981693927,-0.32706221377738387,0.743842276496784,310
upstream,-3,0.4548173,0.43933311093979177,1.035244746288355,0.3013641233245554,310
upstream,-2,1.7054329,0.5693038278083618,2.9956462757531623,0.0029602807420754385,310
upstream,-1,3.4063933,0.854262424290201,3.987525603736614,8.339105047405759e-05,310
upstream,0,8.4285555,1.252698991011772,6.728316657384765,8.33080271434028e-11,310
upstream,1,10.489256,1.4996675133876936,6.994387629800079,1.6546986003618258e-11,310
upstream,2,10.78363,1.572710506979942,6.85671668278974,3.839750739587089e-11,310
upstream,3,10.032739,1.6393893225176965,6.119802384456259,2.8351843095464346e-09,310
upstream,4,7.9075866,1.4789257614346416,5.346844838478541,1.7433297205826648e-07,310
upstream,5,6.143683,1.3324774099893646,4.610722035643007,5.881703719179399e-06,310
upstream,6,5.130188,1.3288912496040581,3.8605024974193594,0.00013781457246930806,310
upstream,7,4.556874,1.3827642529950193,3.2954813433821295,0.001096848137181583,310
upstream,8,5.028631,1.4987782314095948,3.3551536208677293,0.0008921355151738641,310
downstream,-4,-0.8402479,0.6212175316495353,-1.352582446811878,0.17748357180418184,237
downstream,-3,-0.9165611,1.013610469387228,-0.9042538078485518,0.3667829614640572,237
downstream,-2,-0.083867714,1.2973354370873689,-0.06464612883067396,0.9485104805700266,237
downstream,-1,2.3430388,1.6533628458612035,1.4171352665278896,0.15776216252320463,237
downstream,0,8.878745,2.328393443447932,3.813249476218838,0.00017512347934944827,237
downstream,1,12.550424,2.7596681060414716,4.547801815081006,8.669415672235559e-06,237
downstream,2,13.075567,2.7000500353121537,4.842712940127962,2.318077205742952e-06,237
downstream,3,11.753589,2.609616153511923,4.503953066118442,1.0491359015762924e-05,237
downstream,4,8.945241,2.538476534662084,3.523861990422004,0.0005106307152018541,237
downstream,5,6.6864967,2.4885148875785217,2.6869426290058565,0.007723813621028475,237
downstream,6,5.9178486,2.5966343717618297,2.2790457721596504,0.023558256879108397,237
downstream,7,5.8710933,2.8134487113295092,2.0867959132547145,0.03798018690923133,237
downstream,8,6.5454144,3.0403764015432717,2.152830302276632,0.03234611015670685,237
unconnected,-4,0.09045802,0.13099007049670675,0.6905715842111181,0.49019403251994387,447
unconnected,-3,0.48792872,0.2503864281928998,1.948702737824517,0.0519576103629662,447
unconnected,-2,1.7319323,0.3953321848360711,4.380954418694457,1.4744573244351855e-05,447
unconnected,-1,3.6603565,0.5946591712083162,6.155385636369241,1.6703856076105694e-09,447
unconnected,0,8.84164,0.7990767810860688,11.064819652610193,0.0,447
unconnected,1,11.28707,0.9582220059939396,11.779180818820077,0.0,447
unconnected,2,12.015173,0.983796101158835,12.213072345986918,0.0,447
unconnected,3,11.421426,1.0018431499605418,11.400413147214483,0.0,447
unconnected,4,9.498501,0.9221127523554203,10.300801934125529,0.0,447
unconnected,5,7.703976,0.8322744521234547,9.25653326705621,0.0,447
unconnected,6,6.9546623,0.8091258638623849,8.59527872331289,2.220446049250313e-16,447
unconnected,7,6.352356,0.8051038310463001,7.890107724350061,2.353672812205332e-14,447
unconnected,8,6.778515,0.8649415717176585,7.836962730113232,3.419486915845482e-14,447
