n_his,gcn_h,att_h,ff_h,dropout,lr,wd,att_heads,val_rmse,elapsed_s
8,64,64,128,0.1,0.001,0.0001,2,1.189712,3.2
8,64,64,128,0.1,0.001,0.0001,4,1.211355,2.4
8,64,64,128,0.1,0.001,0.001,2,1.205998,2.3
8,64,64,128,0.1,0.001,0.001,4,1.245862,2.5
8,64,64,128,0.1,0.0005,0.0001,2,1.158453,2.4
8,64,64,128,0.1,0.0005,0.0001,4,1.161176,3.4
8,64,64,128,0.1,0.0005,0.001,2,1.180343,7.3
8,64,64,128,0.1,0.0005,0.001,4,1.196148,5.1
8,64,64,128,0.1,0.0001,0.0001,2,1.142121,13.5
8,64,64,128,0.1,0.0001,0.0001,4,1.134838,6.7
8,64,64,128,0.1,0.0001,0.001,2,1.154896,11.5
8,64,64,128,0.1,0.0001,0.001,4,1.138234,16.8
8,64,64,128,0.2,0.001,0.0001,2,1.219504,7.6
8,64,64,128,0.2,0.001,0.0001,4,1.167365,6.5
8,64,64,128,0.2,0.001,0.001,2,1.184364,9.2
8,64,64,128,0.2,0.001,0.001,4,1.226111,9.3
8,64,64,128,0.2,0.0005,0.0001,2,1.186279,7.8
8,64,64,128,0.2,0.0005,0.0001,4,1.158383,7.8
8,64,64,128,0.2,0.0005,0.001,2,1.172608,7.0
8,64,64,128,0.2,0.0005,0.001,4,1.165693,7.5
8,64,64,128,0.2,0.0001,0.0001,2,1.145733,9.6
8,64,64,128,0.2,0.0001,0.0001,4,1.142222,13.7
8,64,64,128,0.2,0.0001,0.001,2,1.145351,10.3
8,64,64,128,0.2,0.0001,0.001,4,1.142604,7.5
8,64,64,128,0.3,0.001,0.0001,2,1.227683,6.5
8,64,64,128,0.3,0.001,0.0001,4,1.184853,5.8
8,64,64,128,0.3,0.001,0.001,2,1.208124,4.7
8,64,64,128,0.3,0.001,0.001,4,1.195687,5.9
8,64,64,128,0.3,0.0005,0.0001,2,1.157976,4.4
8,64,64,128,0.3,0.0005,0.0001,4,1.146894,10.3
8,64,64,128,0.3,0.0005,0.001,2,1.15533,7.2
8,64,64,128,0.3,0.0005,0.001,4,1.161159,8.2
8,64,64,128,0.3,0.0001,0.0001,2,1.134347,15.4
8,64,64,128,0.3,0.0001,0.0001,4,1.142757,11.0
8,64,64,128,0.3,0.0001,0.001,2,1.127456,10.7
8,64,64,128,0.3,0.0001,0.001,4,1.130348,5.0
8,64,64,256,0.1,0.001,0.0001,2,1.240887,5.4
8,64,64,256,0.1,0.001,0.0001,4,1.240389,6.9
8,64,64,256,0.1,0.001,0.001,2,1.245458,6.5
8,64,64,256,0.1,0.001,0.001,4,1.278152,5.8
8,64,64,256,0.1,0.0005,0.0001,2,1.171819,6.2
8,64,64,256,0.1,0.0005,0.0001,4,1.172286,5.9
8,64,64,256,0.1,0.0005,0.001,2,1.189003,5.2
8,64,64,256,0.1,0.0005,0.001,4,1.196067,6.8
8,64,64,256,0.1,0.0001,0.0001,2,1.152504,10.6
8,64,64,256,0.1,0.0001,0.0001,4,1.149661,14.7
8,64,64,256,0.1,0.0001,0.001,2,1.161024,11.3
8,64,64,256,0.1,0.0001,0.001,4,1.139777,9.4
8,64,64,256,0.2,0.001,0.0001,2,1.178761,7.5
8,64,64,256,0.2,0.001,0.0001,4,1.199392,10.5
8,64,64,256,0.2,0.001,0.001,2,1.195947,7.9
8,64,64,256,0.2,0.001,0.001,4,1.235675,9.2
8,64,64,256,0.2,0.0005,0.0001,2,1.198275,9.9
8,64,64,256,0.2,0.0005,0.0001,4,1.209779,10.2
8,64,64,256,0.2,0.0005,0.001,2,1.1899,8.2
8,64,64,256,0.2,0.0005,0.001,4,1.15052,6.3
8,64,64,256,0.2,0.0001,0.0001,2,1.14148,14.1
8,64,64,256,0.2,0.0001,0.0001,4,1.136565,8.7
8,64,64,256,0.2,0.0001,0.001,2,1.13728,10.3
8,64,64,256,0.2,0.0001,0.001,4,1.137186,7.6
8,64,64,256,0.3,0.001,0.0001,2,1.237165,6.7
8,64,64,256,0.3,0.001,0.0001,4,1.253998,5.6
