fold,model,rmse,mae,r2,bt_sharpe,hit_ratio
1,AR(1),2.7313387393951416,1.679456114768982,0.02132546901702881,3.334655283308943,0.6551724137931034
1,LSTM,2.759775400161743,1.6868928670883179,0.0008409619331359863,1.8312815780288216,0.6206896551724138
1,XGBoost,3.0908335549726202,1.884149374449095,-0.2532519192772009,2.0398954742667055,0.5172413793103449
1,V-STGCN,2.772214651107788,1.6967332363128662,-0.0081864595413208,1.9805404482482938,0.6206896551724138
1,SC-STGCN,2.7617249488830566,1.699733853340149,-0.000571131706237793,4.14371571275726,0.7586206896551724
2,AR(1),1.7995550632476807,1.0499593019485474,-0.020884275436401367,5.094453594728778,0.8571428571428571
2,LSTM,1.8148669004440308,1.05831778049469,-0.038330793380737305,1.4580681970046825,0.5
2,XGBoost,1.9553980304807757,1.1462857860126987,-0.20535939933678504,-0.19374357690091001,0.42857142857142855
2,V-STGCN,1.7900376319885254,1.047238826751709,-0.010114312171936035,4.7292628751004075,0.8571428571428571
2,SC-STGCN,1.7947195768356323,1.0347737073898315,-0.01540529727935791,1.7403400161205824,0.7142857142857143
